Date : 2026-01-16 13:48:46
Directory : c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software
Total : 158 files,  23261 codes, 1169 comments, 4373 blanks, all 28803 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| apps\web\app\(auth)                                                                                                                            |          2 |        233 |          9 |         28 |        270 |
| apps\web\app\(auth) (Files)                                                                                                                    |          1 |         18 |          0 |          3 |         21 |
| apps\web\app\(auth)\login                                                                                                                      |          1 |        215 |          9 |         25 |        249 |
| apps\web\app\(dashboard)                                                                                                                       |         17 |      3,544 |        111 |        350 |      4,005 |
| apps\web\app\(dashboard)\availability                                                                                                          |          1 |        335 |          6 |         32 |        373 |
| apps\web\app\(dashboard)\bookings                                                                                                              |          6 |      1,402 |         55 |        131 |      1,588 |
| apps\web\app\(dashboard)\bookings (Files)                                                                                                      |          1 |        116 |          5 |         14 |        135 |
| apps\web\app\(dashboard)\bookings\[bookingId]                                                                                                  |          1 |        189 |          8 |         18 |        215 |
| apps\web\app\(dashboard)\bookings\browse                                                                                                       |          1 |        280 |         13 |         28 |        321 |
| apps\web\app\(dashboard)\bookings\manage                                                                                                       |          1 |        346 |         13 |         29 |        388 |
| apps\web\app\(dashboard)\bookings\my                                                                                                           |          1 |        223 |          6 |         17 |        246 |
| apps\web\app\(dashboard)\bookings\new                                                                                                          |          1 |        248 |         10 |         25 |        283 |
| apps\web\app\(dashboard)\dashboard                                                                                                             |          1 |        175 |          7 |         16 |        198 |
| apps\web\app\(dashboard)\orgs                                                                                                                  |          5 |        899 |         34 |         99 |      1,032 |
| apps\web\app\(dashboard)\orgs (Files)                                                                                                          |          1 |        124 |          5 |         16 |        145 |
| apps\web\app\(dashboard)\orgs\[orgId]                                                                                                          |          3 |        647 |         24 |         70 |        741 |
| apps\web\app\(dashboard)\orgs\[orgId] (Files)                                                                                                  |          1 |        279 |          6 |         33 |        318 |
| apps\web\app\(dashboard)\orgs\[orgId]\settings                                                                                                 |          1 |        297 |         18 |         28 |        343 |
| apps\web\app\(dashboard)\orgs\[orgId]\sites                                                                                                    |          1 |         71 |          0 |          9 |         80 |
| apps\web\app\(dashboard)\orgs\[orgId]\sites\[siteId]                                                                                           |          1 |         71 |          0 |          9 |         80 |
| apps\web\app\(dashboard)\orgs\new                                                                                                              |          1 |        128 |          5 |         13 |        146 |
| apps\web\app\(dashboard)\profile                                                                                                               |          1 |        184 |          8 |         21 |        213 |
| apps\web\app\(dashboard)\reminders                                                                                                             |          1 |        215 |          1 |         22 |        238 |
| apps\web\app\(dashboard)\volunteers                                                                                                            |          2 |        334 |          0 |         29 |        363 |
| apps\web\app\(dashboard)\volunteers (Files)                                                                                                    |          1 |        168 |          0 |         17 |        185 |
| apps\web\app\(dashboard)\volunteers\shifts                                                                                                     |          1 |        166 |          0 |         12 |        178 |
| apps\web\lib                                                                                                                                   |          4 |        556 |         70 |         88 |        714 |
| apps\web\lib\hooks                                                                                                                             |          4 |        556 |         70 |         88 |        714 |
| apps\web\public                                                                                                                                |          1 |         20 |          0 |          1 |         21 |
| infra                                                                                                                                          |          1 |         32 |          0 |          4 |         36 |
| packages                                                                                                                                       |         19 |        316 |         23 |         40 |        379 |
| packages\core                                                                                                                                  |          4 |         49 |          9 |          7 |         65 |
| packages\core (Files)                                                                                                                          |          2 |         34 |          0 |          2 |         36 |
| packages\core\src                                                                                                                              |          2 |         15 |          9 |          5 |         29 |
| packages\core\src (Files)                                                                                                                      |          1 |          1 |          0 |          1 |          2 |
| packages\core\src\scheduling                                                                                                                   |          1 |         14 |          9 |          4 |         27 |
| packages\embed-widget                                                                                                                          |          2 |         23 |          1 |          2 |         26 |
| packages\embed-widget (Files)                                                                                                                  |          1 |         22 |          0 |          1 |         23 |
| packages\embed-widget\src                                                                                                                      |          1 |          1 |          1 |          1 |          3 |
| packages\observability                                                                                                                         |          2 |         20 |          1 |          2 |         23 |
| packages\observability (Files)                                                                                                                 |          1 |         19 |          0 |          1 |         20 |
| packages\observability\src                                                                                                                     |          1 |          1 |          1 |          1 |          3 |
| packages\pouch-sync                                                                                                                            |          2 |         24 |          1 |          2 |         27 |
| packages\pouch-sync (Files)                                                                                                                    |          1 |         23 |          0 |          1 |         24 |
| packages\pouch-sync\src                                                                                                                        |          1 |          1 |          1 |          1 |          3 |
| packages\schema                                                                                                                                |          3 |        128 |          8 |         21 |        157 |
| packages\schema (Files)                                                                                                                        |          2 |         33 |          0 |          2 |         35 |
| packages\schema\src                                                                                                                            |          1 |         95 |          8 |         19 |        122 |
| packages\testing                                                                                                                               |          2 |         20 |          1 |          2 |         23 |
| packages\testing (Files)                                                                                                                       |          1 |         19 |          0 |          1 |         20 |
| packages\testing\src                                                                                                                           |          1 |          1 |          1 |          1 |          3 |
| packages\ui                                                                                                                                    |          2 |         29 |          1 |          2 |         32 |
| packages\ui (Files)                                                                                                                            |          1 |         28 |          0 |          1 |         29 |
| packages\ui\src                                                                                                                                |          1 |          1 |          1 |          1 |          3 |
| packages\workflows                                                                                                                             |          2 |         23 |          1 |          2 |         26 |
| packages\workflows (Files)                                                                                                                     |          1 |         22 |          0 |          1 |         23 |
| packages\workflows\src                                                                                                                         |          1 |          1 |          1 |          1 |          3 |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\.eslintrc.json                                                     | JSON with Comments |         27 |          0 |          1 |         28 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\.github\workflows\ci.yml                                           | YAML               |         33 |          0 |         11 |         44 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\API_CONTRACTS.md                                                   | Markdown           |        414 |          0 |         88 |        502 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\BACKUP.md                                                          | Markdown           |        474 |          0 |        160 |        634 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\COMPLETION_REPORT.md                                               | Markdown           |        336 |          0 |         94 |        430 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\COPILOT_INSTRUCTIONS.md                                            | Markdown           |        463 |          0 |        110 |        573 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\DEPLOYMENT.md                                                      | Markdown           |        373 |          0 |        126 |        499 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\DEVELOPMENT.md                                                     | Markdown           |        176 |          0 |         51 |        227 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\FIXES_SESSION.md                                                   | Markdown           |        136 |          0 |         45 |        181 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\GETTING_STARTED.md                                                 | Markdown           |        250 |          0 |        100 |        350 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\GITHUB_COPILOT_TODO.md                                             | Markdown           |        855 |          0 |        155 |      1,010 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\IMPLEMENTATION_PLAN.md                                             | Markdown           |        202 |          0 |         52 |        254 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\INSTRUCTIONS_NEXT_STEPS.md                                         | Markdown           |         95 |          0 |         33 |        128 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\MONITORING_OBSERVABILITY.md                                        | Markdown           |        699 |          0 |        158 |        857 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\NEXT_STEPS.md                                                      | Markdown           |        288 |          0 |         75 |        363 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\OPERATIONS.md                                                      | Markdown           |        567 |          0 |        152 |        719 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PRODUCTION_HARDENING.md                                            | Markdown           |        690 |          0 |        164 |        854 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROGRESS_REPORT.md                                                 | Markdown           |        219 |          0 |         63 |        282 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\PROJECT_COMPLETION.md                                              | Markdown           |        504 |          0 |        129 |        633 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\README.md                                                          | Markdown           |        440 |          0 |        131 |        571 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY.md                                                 | Markdown           |        149 |          0 |         47 |        196 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\SESSION_SUMMARY_BOOKINGS.md                                        | Markdown           |        296 |          0 |         79 |        375 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TODO_FROM_SERVER_LOG.md                                            | Markdown           |         33 |          0 |         10 |         43 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TROUBLESHOOTING.md                                                 | Markdown           |        597 |          0 |        194 |        791 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\TWILIO_SMS_GUIDE.md                                                | Markdown           |        299 |          0 |         83 |        382 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\globals.css                                         | PostCSS            |          3 |          0 |          1 |          4 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\layout.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\app\page.tsx                                            | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\next-env.d.ts                                           | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\next.config.js                                          | JavaScript         |          5 |          1 |          2 |          8 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\package.json                                            | JSON               |         30 |          0 |          1 |         31 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\postcss.config.js                                       | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\src\index.ts                                            | TypeScript         |          1 |          1 |          1 |          3 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\tailwind.config.ts                                      | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\admin\tsconfig.json                                           | JSON with Comments |         34 |          0 |          1 |         35 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\app\globals.css                                         | PostCSS            |          3 |          0 |          1 |          4 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\app\layout.tsx                                          | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\app\page.tsx                                            | TypeScript JSX     |          8 |          0 |          1 |          9 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\next-env.d.ts                                           | TypeScript         |          0 |          4 |          2 |          6 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\next.config.js                                          | JavaScript         |          5 |          1 |          2 |          8 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\package.json                                            | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\postcss.config.js                                       | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\tailwind.config.ts                                      | TypeScript         |         23 |          0 |          2 |         25 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\embed\tsconfig.json                                           | JSON with Comments |         34 |          0 |          1 |         35 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\package.json                                           | JSON               |         46 |          0 |          1 |         47 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\TEST_DOCUMENTATION.md                    | Markdown           |        372 |          0 |         86 |        458 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\auth.service.test.ts                     | TypeScript         |        235 |          5 |         47 |        287 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\availability-booking.e2e.test.ts         | TypeScript         |        447 |         18 |         65 |        530 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\availability-booking.integration.test.ts | TypeScript         |        594 |         26 |         88 |        708 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\error-scenarios.test.ts                  | TypeScript         |        589 |         25 |         99 |        713 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\middleware.test.ts                       | TypeScript         |        245 |          2 |         57 |        304 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\org.service.test.ts                      | TypeScript         |        268 |          1 |         64 |        333 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\rbac.test.ts                             | TypeScript         |        479 |         19 |         86 |        584 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\__tests__\test-utils.ts                            | TypeScript         |        207 |         58 |         35 |        300 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\config.ts                                          | TypeScript         |        129 |         28 |         27 |        184 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\adapter.ts                                      | TypeScript         |        193 |          1 |         26 |        220 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\indexes.ts                                      | TypeScript         |        156 |         17 |         21 |        194 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql-init.ts                                   | TypeScript         |         47 |          0 |          9 |         56 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql.ts                                        | TypeScript         |         21 |          0 |          4 |         25 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrate.ts                                | TypeScript         |         72 |          0 |         12 |         84 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\001_documents_indexes.sql      | MS SQL             |          5 |          1 |          1 |          7 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\002_users_orgs.sql             | MS SQL             |          2 |          3 |          3 |          8 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\003_volunteers_shifts.sql      | MS SQL             |         47 |          1 |          4 |         52 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\migrations\004_seed_test_data.sql         | MS SQL             |         28 |          5 |          4 |         37 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\db\mysql\schema.sql                                | MS SQL             |        107 |          2 |         10 |        119 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\index.ts                                           | TypeScript         |        381 |         27 |         47 |        455 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\lib\metrics.ts                                     | TypeScript         |        128 |         35 |         24 |        187 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\logger.ts                                          | TypeScript         |         42 |         21 |          6 |         69 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\middleware\auth.ts                                 | TypeScript         |         95 |         22 |         17 |        134 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\middleware\error-handler.ts                        | TypeScript         |        156 |         23 |         27 |        206 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\middleware\rate-limit.ts                           | TypeScript         |         82 |         26 |         18 |        126 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\middleware\request-logger.ts                       | TypeScript         |         53 |         14 |         10 |         77 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\middleware\security.ts                             | TypeScript         |         42 |         20 |         11 |         73 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\audit.ts                                    | TypeScript         |         95 |         14 |          8 |        117 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\auth.ts                                     | TypeScript         |        161 |         32 |         21 |        214 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\availability.ts                             | TypeScript         |        200 |         37 |         24 |        261 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\booking.ts                                  | TypeScript         |        388 |         66 |         49 |        503 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\bootstrap.ts                                | TypeScript         |         70 |          3 |          8 |         81 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\messaging.ts                                | TypeScript         |        179 |          0 |         20 |        199 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\orgs.ts                                     | TypeScript         |        130 |         30 |         14 |        174 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\reminders.ts                                | TypeScript         |        169 |         18 |         16 |        203 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\sites.ts                                    | TypeScript         |         87 |         20 |         10 |        117 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\routes\volunteers.ts                               | TypeScript         |        166 |          0 |         15 |        181 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\seeds\seed.ts                                      | TypeScript         |        150 |          9 |         15 |        174 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\audit.service.ts                          | TypeScript         |        122 |         26 |         19 |        167 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\auth.service.ts                           | TypeScript         |        180 |         46 |         31 |        257 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\availability.service.ts                   | TypeScript         |        233 |         47 |         41 |        321 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\booking.service.ts                        | TypeScript         |        318 |         58 |         52 |        428 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\bootstrap.service.ts                      | TypeScript         |        105 |          0 |         14 |        119 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\health.service.ts                         | TypeScript         |        118 |         26 |         18 |        162 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\messaging.service.ts                      | TypeScript         |         91 |          0 |         12 |        103 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\org.service.ts                            | TypeScript         |        206 |         29 |         34 |        269 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\reminder.service.ts                       | TypeScript         |        133 |          0 |         26 |        159 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\src\services\volunteer.service.ts                      | TypeScript         |        101 |          0 |         15 |        116 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\server\tsconfig.json                                          | JSON with Comments |         20 |          0 |          1 |         21 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(auth)\layout.tsx                                     | TypeScript JSX     |         18 |          0 |          3 |         21 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(auth)\login\page.tsx                                 | TypeScript JSX     |        215 |          9 |         25 |        249 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\availability\page.tsx                     | TypeScript JSX     |        335 |          6 |         32 |        373 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\[bookingId]\page.tsx             | TypeScript JSX     |        189 |          8 |         18 |        215 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\browse\page.tsx                  | TypeScript JSX     |        280 |         13 |         28 |        321 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\manage\page.tsx                  | TypeScript JSX     |        346 |         13 |         29 |        388 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\my\page.tsx                      | TypeScript JSX     |        223 |          6 |         17 |        246 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\new\page.tsx                     | TypeScript JSX     |        248 |         10 |         25 |        283 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\bookings\page.tsx                         | TypeScript JSX     |        116 |          5 |         14 |        135 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\dashboard\page.tsx                        | TypeScript JSX     |        175 |          7 |         16 |        198 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\[orgId]\page.tsx                     | TypeScript JSX     |        279 |          6 |         33 |        318 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\[orgId]\settings\page.tsx            | TypeScript JSX     |        297 |         18 |         28 |        343 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\[orgId]\sites\[siteId]\page.tsx      | TypeScript JSX     |         71 |          0 |          9 |         80 |
| c:\Users\James\Documents\GitHub\SheduleRight---NonProfit-Sheduling-Software\apps\web\app\(dashboard)\orgs\new\page.tsx                         | TypeScript JSX     |        128 |          5 |         13 |        146 |
